sample_id	dataset	patient_id	tissue_type	WD_or_DD	platform	note
PLACEHOLDER	GSE221492	PLACEHOLDER	LPS	PLACEHOLDER	RNAseq	NovaSeq6000
PLACEHOLDER	GSE221493	PLACEHOLDER	LPS	PLACEHOLDER	scRNAseq	NovaSeq6000
